[10/05/22 13:14:32:7149909] [INFO   ]: Logging started
[10/05/22 13:14:32:7682127] [INFO   ]: Starting Spooler receive
[10/05/22 13:14:32:7767696] [INFO   ]: Load Balancer server start
[10/05/22 13:14:32:7782349] [INFO   ]: Load Balancer Client Accept Thread Start
[10/05/22 13:14:32:7871168] [INFO   ]: Waiting for client to connect
[10/05/22 13:14:32:7948851] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:14:32:7963241] [INFO   ]: Recieving servers from spooler
[10/05/22 13:14:32:7965684] [INFO   ]: Recieve server done
[10/05/22 13:14:32:7967491] [INFO   ]: Replying to spooler
[10/05/22 13:14:34:7388223] [DEBUG  ]: Recieving packet from Spooler of len 37
[10/05/22 13:14:34:7394806] [INFO   ]: Recieving servers from spooler
[10/05/22 13:14:34:7410297] [DEBUG  ]: Recieved server: 127.0.0.1:10123 - 0
[10/05/22 13:14:34:7414019] [DEBUG  ]: Recieved server: 127.0.0.1:10124 - 0
[10/05/22 13:14:34:7415883] [DEBUG  ]: Recieved server: 127.0.0.1:10125 - 0
[10/05/22 13:14:34:7417465] [DEBUG  ]: Recieved server: 127.0.0.1:10126 - 0
[10/05/22 13:14:34:7419032] [DEBUG  ]: Recieved server: 127.0.0.1:10127 - 0
[10/05/22 13:14:34:7420911] [INFO   ]: Recieve server done
[10/05/22 13:14:34:7422658] [INFO   ]: Replying to spooler
[10/05/22 13:14:34:8714334] [DEBUG  ]: Recieving packet from Spooler of len 37
[10/05/22 13:14:34:8722607] [INFO   ]: Recieving servers from spooler
[10/05/22 13:14:34:8725357] [DEBUG  ]: Recieved server: 127.0.0.1:10123 - 0
[10/05/22 13:14:34:8727878] [DEBUG  ]: Recieved server: 127.0.0.1:10124 - 0
[10/05/22 13:14:34:8730320] [DEBUG  ]: Recieved server: 127.0.0.1:10125 - 0
[10/05/22 13:14:34:8732700] [DEBUG  ]: Recieved server: 127.0.0.1:10126 - 0
[10/05/22 13:14:34:8735259] [DEBUG  ]: Recieved server: 127.0.0.1:10127 - 0
[10/05/22 13:14:34:8737582] [INFO   ]: Recieve server done
[10/05/22 13:14:34:8739519] [INFO   ]: Replying to spooler
[10/05/22 13:14:34:9330584] [DEBUG  ]: Recieving packet from Spooler of len 37
[10/05/22 13:14:34:9341883] [INFO   ]: Recieving servers from spooler
[10/05/22 13:14:34:9353961] [DEBUG  ]: Recieved server: 127.0.0.1:10123 - 0
[10/05/22 13:14:34:9364625] [DEBUG  ]: Recieved server: 127.0.0.1:10124 - 0
[10/05/22 13:14:34:9375430] [DEBUG  ]: Recieved server: 127.0.0.1:10125 - 0
[10/05/22 13:14:34:9385534] [DEBUG  ]: Recieved server: 127.0.0.1:10126 - 0
[10/05/22 13:14:34:9396838] [DEBUG  ]: Recieved server: 127.0.0.1:10127 - 0
[10/05/22 13:14:34:9407124] [INFO   ]: Recieve server done
[10/05/22 13:14:34:9417617] [INFO   ]: Replying to spooler
[10/05/22 13:14:35:0135169] [DEBUG  ]: Recieving packet from Spooler of len 37
[10/05/22 13:14:35:0174285] [INFO   ]: Recieving servers from spooler
[10/05/22 13:14:35:0205730] [DEBUG  ]: Recieved server: 127.0.0.1:10123 - 0
[10/05/22 13:14:35:0214313] [DEBUG  ]: Recieved server: 127.0.0.1:10124 - 0
[10/05/22 13:14:35:0221912] [DEBUG  ]: Recieved server: 127.0.0.1:10125 - 0
[10/05/22 13:14:35:0230002] [DEBUG  ]: Recieved server: 127.0.0.1:10126 - 0
[10/05/22 13:14:35:0243046] [DEBUG  ]: Recieved server: 127.0.0.1:10127 - 0
[10/05/22 13:14:35:0266423] [INFO   ]: Recieve server done
[10/05/22 13:14:35:0274527] [INFO   ]: Replying to spooler
[10/05/22 13:14:35:1144132] [DEBUG  ]: Recieving packet from Spooler of len 37
[10/05/22 13:14:35:1182531] [INFO   ]: Recieving servers from spooler
[10/05/22 13:14:35:1215419] [DEBUG  ]: Recieved server: 127.0.0.1:10123 - 0
[10/05/22 13:14:35:1230128] [DEBUG  ]: Recieved server: 127.0.0.1:10124 - 0
[10/05/22 13:14:35:1245432] [DEBUG  ]: Recieved server: 127.0.0.1:10125 - 0
[10/05/22 13:14:35:1260085] [DEBUG  ]: Recieved server: 127.0.0.1:10126 - 0
[10/05/22 13:14:35:1272980] [DEBUG  ]: Recieved server: 127.0.0.1:10127 - 0
[10/05/22 13:14:35:1289106] [INFO   ]: Recieve server done
[10/05/22 13:14:35:1339031] [INFO   ]: Replying to spooler
[10/05/22 13:14:35:1978786] [DEBUG  ]: Recieving packet from Spooler of len 37
[10/05/22 13:14:35:2034819] [INFO   ]: Recieving servers from spooler
[10/05/22 13:14:35:2062936] [DEBUG  ]: Recieved server: 127.0.0.1:10123 - 0
[10/05/22 13:14:35:2080788] [DEBUG  ]: Recieved server: 127.0.0.1:10124 - 0
[10/05/22 13:14:35:2098969] [DEBUG  ]: Recieved server: 127.0.0.1:10125 - 0
[10/05/22 13:14:35:2116675] [DEBUG  ]: Recieved server: 127.0.0.1:10126 - 0
[10/05/22 13:14:35:2162991] [DEBUG  ]: Recieved server: 127.0.0.1:10127 - 0
[10/05/22 13:14:35:2192091] [INFO   ]: Recieve server done
[10/05/22 13:14:35:2221314] [INFO   ]: Replying to spooler
[10/05/22 13:14:35:2969265] [DEBUG  ]: Recieving packet from Spooler of len 37
[10/05/22 13:14:35:3010015] [INFO   ]: Recieving servers from spooler
[10/05/22 13:14:35:3043634] [DEBUG  ]: Recieved server: 127.0.0.1:10123 - 0
[10/05/22 13:14:35:3062741] [DEBUG  ]: Recieved server: 127.0.0.1:10124 - 0
[10/05/22 13:14:35:3079549] [DEBUG  ]: Recieved server: 127.0.0.1:10125 - 0
[10/05/22 13:14:35:3093925] [DEBUG  ]: Recieved server: 127.0.0.1:10126 - 0
[10/05/22 13:14:35:3109384] [DEBUG  ]: Recieved server: 127.0.0.1:10127 - 0
[10/05/22 13:14:35:3169515] [INFO   ]: Recieve server done
[10/05/22 13:14:35:3194460] [INFO   ]: Replying to spooler
[10/05/22 13:14:35:3975335] [DEBUG  ]: Recieving packet from Spooler of len 37
[10/05/22 13:14:35:4017653] [INFO   ]: Recieving servers from spooler
[10/05/22 13:14:35:4051215] [DEBUG  ]: Recieved server: 127.0.0.1:10123 - 0
[10/05/22 13:14:35:4069125] [DEBUG  ]: Recieved server: 127.0.0.1:10124 - 0
[10/05/22 13:14:35:4089412] [DEBUG  ]: Recieved server: 127.0.0.1:10125 - 0
[10/05/22 13:14:35:4107742] [DEBUG  ]: Recieved server: 127.0.0.1:10126 - 0
[10/05/22 13:14:35:4125237] [DEBUG  ]: Recieved server: 127.0.0.1:10127 - 0
[10/05/22 13:14:35:4191418] [INFO   ]: Recieve server done
[10/05/22 13:14:35:4208795] [INFO   ]: Replying to spooler
[10/05/22 13:14:35:4905786] [DEBUG  ]: Recieving packet from Spooler of len 37
[10/05/22 13:14:35:4953265] [INFO   ]: Recieving servers from spooler
[10/05/22 13:14:35:4989887] [DEBUG  ]: Recieved server: 127.0.0.1:10123 - 0
[10/05/22 13:14:35:5011363] [DEBUG  ]: Recieved server: 127.0.0.1:10124 - 0
[10/05/22 13:14:35:5028989] [DEBUG  ]: Recieved server: 127.0.0.1:10125 - 0
[10/05/22 13:14:35:5046687] [DEBUG  ]: Recieved server: 127.0.0.1:10126 - 0
[10/05/22 13:14:35:5101860] [DEBUG  ]: Recieved server: 127.0.0.1:10127 - 0
[10/05/22 13:14:35:5119276] [INFO   ]: Recieve server done
[10/05/22 13:14:35:5152969] [INFO   ]: Replying to spooler
[10/05/22 13:14:35:5980451] [DEBUG  ]: Recieving packet from Spooler of len 37
[10/05/22 13:14:35:6024558] [INFO   ]: Recieving servers from spooler
[10/05/22 13:14:35:6055368] [DEBUG  ]: Recieved server: 127.0.0.1:10123 - 0
[10/05/22 13:14:35:6073925] [DEBUG  ]: Recieved server: 127.0.0.1:10124 - 0
[10/05/22 13:14:35:6093141] [DEBUG  ]: Recieved server: 127.0.0.1:10125 - 0
[10/05/22 13:14:35:6110439] [DEBUG  ]: Recieved server: 127.0.0.1:10126 - 0
[10/05/22 13:14:35:6127521] [DEBUG  ]: Recieved server: 127.0.0.1:10127 - 0
[10/05/22 13:14:35:6178513] [INFO   ]: Recieve server done
[10/05/22 13:14:35:6201702] [INFO   ]: Replying to spooler
[10/05/22 13:14:35:6988768] [DEBUG  ]: Recieving packet from Spooler of len 37
