[10/05/22 13:16:28:7904314] [INFO   ]: Logging started
[10/05/22 13:16:28:8247209] [INFO   ]: Starting Spooler receive
[10/05/22 13:16:28:8295722] [INFO   ]: Load Balancer server start
[10/05/22 13:16:28:8318301] [INFO   ]: Load Balancer Client Accept Thread Start
[10/05/22 13:16:28:8348232] [INFO   ]: Waiting for client to connect
[10/05/22 13:16:28:8364510] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:28:8374211] [INFO   ]: Recieving servers from spooler
[10/05/22 13:16:28:8376751] [INFO   ]: Recieve server done
[10/05/22 13:16:28:8377899] [INFO   ]: Replying to spooler
[10/05/22 13:16:30:8894490] [DEBUG  ]: Recieving packet from Spooler of len 37
[10/05/22 13:16:30:8916984] [INFO   ]: Recieving servers from spooler
[10/05/22 13:16:30:8960359] [DEBUG  ]: Recieved server: 127.0.0.1:10123 - 0
[10/05/22 13:16:30:8978283] [DEBUG  ]: Recieved server: 127.0.0.1:10124 - 0
[10/05/22 13:16:30:8983162] [DEBUG  ]: Recieved server: 127.0.0.1:10125 - 0
[10/05/22 13:16:30:8985133] [DEBUG  ]: Recieved server: 127.0.0.1:10126 - 0
[10/05/22 13:16:30:8987182] [DEBUG  ]: Recieved server: 127.0.0.1:10127 - 0
[10/05/22 13:16:30:8989490] [INFO   ]: Recieve server done
[10/05/22 13:16:30:8991722] [INFO   ]: Replying to spooler
[10/05/22 13:16:31:0152208] [DEBUG  ]: Recieving packet from Spooler of len 37
[10/05/22 13:16:31:0159283] [INFO   ]: Recieving servers from spooler
[10/05/22 13:16:31:0161473] [DEBUG  ]: Recieved server: 127.0.0.1:10123 - 0
[10/05/22 13:16:31:0163224] [DEBUG  ]: Recieved server: 127.0.0.1:10124 - 0
[10/05/22 13:16:31:0164830] [DEBUG  ]: Recieved server: 127.0.0.1:10125 - 0
[10/05/22 13:16:31:0166397] [DEBUG  ]: Recieved server: 127.0.0.1:10126 - 0
[10/05/22 13:16:31:0168086] [DEBUG  ]: Recieved server: 127.0.0.1:10127 - 0
