[09/05/22 16:12:11:1095449] [INFO   ]: Logging started
[09/05/22 16:12:11:1202143] [INFO   ]: Starting Spooler receive
[09/05/22 16:12:11:1538146] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 16:12:11:1541815] [INFO   ]: Spooler requested update
[09/05/22 16:12:11:2247961] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 16:12:11:2250270] [INFO   ]: Spooler requested update
[09/05/22 16:12:11:3032306] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 16:12:11:3034548] [INFO   ]: Spooler requested update
[09/05/22 16:12:11:3804281] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 16:12:11:3806496] [INFO   ]: Spooler requested update
[09/05/22 16:12:11:4576034] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 16:12:11:4578394] [INFO   ]: Spooler requested update
[09/05/22 16:12:11:5356664] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 16:12:11:5359061] [INFO   ]: Spooler requested update
[09/05/22 16:12:11:6118878] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 16:12:11:6121126] [INFO   ]: Spooler requested update
[09/05/22 16:12:11:6887909] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 16:12:11:6890155] [INFO   ]: Spooler requested update
[09/05/22 16:12:11:7655595] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 16:12:11:7657723] [INFO   ]: Spooler requested update
[09/05/22 16:12:11:8454552] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 16:12:11:8456903] [INFO   ]: Spooler requested update
[09/05/22 16:12:11:9206750] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 16:12:11:9209738] [INFO   ]: Spooler requested update
[09/05/22 16:12:11:9976666] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 16:12:11:9978736] [INFO   ]: Spooler requested update
[09/05/22 16:12:12:0758684] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 16:12:12:0760919] [INFO   ]: Spooler requested update
[09/05/22 16:12:12:1617795] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 16:12:12:1626926] [INFO   ]: Spooler requested update
[09/05/22 16:12:12:2398500] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 16:12:12:2408209] [INFO   ]: Spooler requested update
[09/05/22 16:12:12:3357707] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 16:12:12:3370039] [INFO   ]: Spooler requested update
[09/05/22 16:12:12:4236733] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 16:12:12:4244461] [INFO   ]: Spooler requested update
[09/05/22 16:12:12:5025735] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 16:12:12:5034890] [INFO   ]: Spooler requested update
[09/05/22 16:12:12:5932818] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 16:12:12:5951792] [INFO   ]: Spooler requested update
[09/05/22 16:12:12:6749348] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 16:12:12:6756862] [INFO   ]: Spooler requested update
[09/05/22 16:12:12:7677368] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 16:12:12:7686202] [INFO   ]: Spooler requested update
[09/05/22 16:12:12:8580079] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 16:12:12:8587213] [INFO   ]: Spooler requested update
