[10/05/22 13:16:30:7985867] [INFO   ]: Logging started
[10/05/22 13:16:30:8344494] [INFO   ]: Starting Spooler receive
[10/05/22 13:16:30:9575201] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:30:9616090] [INFO   ]: Spooler requested update
[10/05/22 13:16:31:0239510] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:31:0247038] [INFO   ]: Spooler requested update
[10/05/22 13:16:31:1092244] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:31:1103734] [INFO   ]: Spooler requested update
[10/05/22 13:16:31:2167796] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:31:2182202] [INFO   ]: Spooler requested update
[10/05/22 13:16:31:3082317] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:31:3090469] [INFO   ]: Spooler requested update
[10/05/22 13:16:31:3973207] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:31:3986670] [INFO   ]: Spooler requested update
[10/05/22 13:16:31:4919966] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:31:4931750] [INFO   ]: Spooler requested update
[10/05/22 13:16:31:5881561] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:31:5902184] [INFO   ]: Spooler requested update
[10/05/22 13:16:31:8413767] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:31:8420618] [INFO   ]: Spooler requested update
[10/05/22 13:16:31:9246032] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:31:9291752] [INFO   ]: Spooler requested update
[10/05/22 13:16:32:0207771] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:32:0247862] [INFO   ]: Spooler requested update
[10/05/22 13:16:32:1021941] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:32:1031051] [INFO   ]: Spooler requested update
[10/05/22 13:16:32:1870866] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:32:1883286] [INFO   ]: Spooler requested update
[10/05/22 13:16:32:2944257] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:32:2992849] [INFO   ]: Spooler requested update
[10/05/22 13:16:32:4490188] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:32:4540988] [INFO   ]: Spooler requested update
[10/05/22 13:16:32:6131721] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:32:6162141] [INFO   ]: Spooler requested update
[10/05/22 13:16:32:7922656] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:32:7942623] [INFO   ]: Spooler requested update
[10/05/22 13:16:32:8827934] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:32:8846298] [INFO   ]: Spooler requested update
[10/05/22 13:16:33:0246540] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:33:0273848] [INFO   ]: Spooler requested update
[10/05/22 13:16:33:1467051] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:33:1547181] [INFO   ]: Spooler requested update
[10/05/22 13:16:33:2797052] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:33:2831083] [INFO   ]: Spooler requested update
[10/05/22 13:16:33:4120427] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:33:4160821] [INFO   ]: Spooler requested update
[10/05/22 13:16:33:5535029] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:33:5589113] [INFO   ]: Spooler requested update
[10/05/22 13:16:33:6972073] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:33:7077336] [INFO   ]: Spooler requested update
[10/05/22 13:16:33:8338514] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:33:8390587] [INFO   ]: Spooler requested update
[10/05/22 13:16:33:9652353] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:33:9765007] [INFO   ]: Spooler requested update
[10/05/22 13:16:34:1047112] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:34:1113622] [INFO   ]: Spooler requested update
[10/05/22 13:16:34:2503486] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:34:2586444] [INFO   ]: Spooler requested update
[10/05/22 13:16:34:3916302] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:34:3972926] [INFO   ]: Spooler requested update
[10/05/22 13:16:34:5654858] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:34:5783093] [INFO   ]: Spooler requested update
[10/05/22 13:16:34:6960070] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:34:6983159] [INFO   ]: Spooler requested update
[10/05/22 13:16:34:8080989] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:34:8119619] [INFO   ]: Spooler requested update
[10/05/22 13:16:34:9607709] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:16:34:9766598] [INFO   ]: Spooler requested update
[10/05/22 13:16:35:1286556] [DEBUG  ]: Recieving packet from Spooler of len 2
