[09/05/22 14:30:56:5461167] [INFO   ]: Logging started
[09/05/22 14:30:56:6135177] [INFO   ]: Starting load balancer
[09/05/22 14:30:56:7067742] [INFO   ]: Waiting for load balancer response
[09/05/22 14:30:56:7101990] [INFO   ]: Accepting client
[09/05/22 14:30:56:7109220] [DEBUG  ]: Listener socket does not exist, creating
[09/05/22 14:30:56:7263274] [INFO   ]: Accepting connection
[09/05/22 14:30:56:9623211] [INFO   ]: Connection established
[09/05/22 14:30:56:9639168] [INFO   ]: Connected in 0ms
[09/05/22 14:30:56:9644818] [INFO   ]: Press Ctrl-C to exit
[09/05/22 14:30:56:9648411] [INFO   ]: Communicating with Load Balancer
[09/05/22 14:30:56:9795977] [INFO   ]: Communicating with Lobbies
[09/05/22 14:30:57:0182781] [INFO   ]: Accepting client
[09/05/22 14:30:57:0203260] [INFO   ]: Accepting connection
[09/05/22 14:30:57:3312778] [INFO   ]: Connection established
[09/05/22 14:30:57:4011280] [INFO   ]: Accepting client
[09/05/22 14:30:57:4031885] [INFO   ]: Accepting connection
[09/05/22 14:30:57:8189556] [INFO   ]: Connection established
[09/05/22 14:30:57:8535647] [INFO   ]: Accepting client
[09/05/22 14:30:57:8625711] [INFO   ]: Accepting connection
[09/05/22 14:30:58:1705706] [INFO   ]: Connection established
[09/05/22 14:30:58:2184426] [INFO   ]: Accepting client
[09/05/22 14:30:58:2282294] [INFO   ]: Accepting connection
[09/05/22 14:30:58:5724316] [INFO   ]: Connection established
[09/05/22 14:30:58:6175778] [INFO   ]: Accepting client
[09/05/22 14:30:58:6190046] [INFO   ]: Accepting connection
[09/05/22 14:30:58:9525795] [INFO   ]: Connection established
[09/05/22 14:30:59:0083330] [INFO   ]: Accepting client
[09/05/22 14:30:59:0095444] [INFO   ]: Accepting connection
[09/05/22 14:30:59:3058181] [INFO   ]: Connection established
[09/05/22 14:30:59:3523200] [INFO   ]: Accepting client
[09/05/22 14:30:59:3591365] [INFO   ]: Accepting connection
[09/05/22 14:30:59:7211712] [INFO   ]: Connection established
[09/05/22 14:30:59:7779265] [INFO   ]: Accepting client
[09/05/22 14:30:59:7813545] [INFO   ]: Accepting connection
[09/05/22 14:31:00:1063419] [INFO   ]: Connection established
[09/05/22 14:31:00:1618118] [INFO   ]: Accepting client
[09/05/22 14:31:00:1659335] [INFO   ]: Accepting connection
[09/05/22 14:31:00:4562604] [INFO   ]: Connection established
[09/05/22 14:31:00:5138518] [INFO   ]: Accepting client
[09/05/22 14:31:00:5154940] [INFO   ]: Accepting connection
[09/05/22 14:31:00:8221405] [INFO   ]: Connection established
[09/05/22 14:31:00:8694560] [INFO   ]: Accepting client
[09/05/22 14:31:00:8810057] [INFO   ]: Accepting connection
[09/05/22 14:31:01:1544238] [INFO   ]: Connection established
[09/05/22 14:31:01:2019807] [INFO   ]: Accepting client
[09/05/22 14:31:01:2074692] [INFO   ]: Accepting connection
[09/05/22 14:31:01:5033949] [INFO   ]: Connection established
