[09/05/22 14:33:41:1826185] [INFO   ]: Logging started
[09/05/22 14:33:41:2147807] [INFO   ]: Starting Spooler receive
[09/05/22 14:33:50:3954048] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:33:50:3964117] [INFO   ]: Spooler requested update
[09/05/22 14:33:50:9767738] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:33:50:9791458] [INFO   ]: Spooler requested update
[09/05/22 14:33:51:5667097] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:33:51:5673899] [INFO   ]: Spooler requested update
[09/05/22 14:33:51:9328108] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:33:51:9334066] [INFO   ]: Spooler requested update
[09/05/22 14:33:52:3684459] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:33:52:3707496] [INFO   ]: Spooler requested update
[09/05/22 14:33:52:8588607] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:33:52:8600509] [INFO   ]: Spooler requested update
[09/05/22 14:33:53:3561745] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:33:53:3575729] [INFO   ]: Spooler requested update
[09/05/22 14:33:54:2714303] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:33:54:2723509] [INFO   ]: Spooler requested update
[09/05/22 14:33:54:7941307] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:33:54:7948411] [INFO   ]: Spooler requested update
[09/05/22 14:33:55:2887845] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:33:55:2922717] [INFO   ]: Spooler requested update
[09/05/22 14:33:55:7682674] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:33:55:7687079] [INFO   ]: Spooler requested update
[09/05/22 14:33:56:2591063] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:33:56:2595204] [INFO   ]: Spooler requested update
[09/05/22 14:33:56:7409640] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:33:56:7415148] [INFO   ]: Spooler requested update
[09/05/22 14:33:57:5089471] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:33:57:5151045] [INFO   ]: Spooler requested update
[09/05/22 14:33:59:1562608] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:33:59:1707613] [INFO   ]: Spooler requested update
[09/05/22 14:34:00:4696999] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:34:00:4724505] [INFO   ]: Spooler requested update
[09/05/22 14:34:01:4837277] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:34:01:4856092] [INFO   ]: Spooler requested update
[09/05/22 14:34:02:3757294] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:34:02:3822869] [INFO   ]: Spooler requested update
[09/05/22 14:34:03:1224557] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:34:03:1326450] [INFO   ]: Spooler requested update
[09/05/22 14:34:04:0094168] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:34:04:0178325] [INFO   ]: Spooler requested update
[09/05/22 14:34:04:9244078] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:34:04:9312727] [INFO   ]: Spooler requested update
[09/05/22 14:34:05:7405633] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:34:05:7461125] [INFO   ]: Spooler requested update
[09/05/22 14:34:06:7388796] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:34:06:7483973] [INFO   ]: Spooler requested update
[09/05/22 14:34:07:8141175] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:34:07:8196051] [INFO   ]: Spooler requested update
[09/05/22 14:34:08:7859123] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:34:08:7904780] [INFO   ]: Spooler requested update
[09/05/22 14:34:09:7799686] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:34:09:7854657] [INFO   ]: Spooler requested update
[09/05/22 14:34:10:6993901] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:34:10:7031366] [INFO   ]: Spooler requested update
[09/05/22 14:34:11:7238063] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/2
