[09/05/22 14:33:44:8445191] [INFO   ]: Logging started
[09/05/22 14:33:44:8870232] [INFO   ]: Starting Spooler receive
[09/05/22 14:33:50:4555974] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:33:50:4568492] [INFO   ]: Spooler requested update
[09/05/22 14:33:50:9998554] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:33:51:0010178] [INFO   ]: Spooler requested update
[09/05/22 14:33:51:5817856] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:33:51:5823220] [INFO   ]: Spooler requested update
[09/05/22 14:33:51:9412518] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:33:51:9416595] [INFO   ]: Spooler requested update
[09/05/22 14:33:52:3896259] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:33:52:3908417] [INFO   ]: Spooler requested update
[09/05/22 14:33:52:8775266] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:33:52:8787425] [INFO   ]: Spooler requested update
[09/05/22 14:33:53:3812917] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:33:53:3825548] [INFO   ]: Spooler requested update
[09/05/22 14:33:54:3162067] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:33:54:3177773] [INFO   ]: Spooler requested update
[09/05/22 14:33:54:8177645] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:33:54:8187889] [INFO   ]: Spooler requested update
[09/05/22 14:33:55:3080184] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:33:55:3087332] [INFO   ]: Spooler requested update
[09/05/22 14:33:55:7770757] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:33:55:7777791] [INFO   ]: Spooler requested update
[09/05/22 14:33:56:2710442] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:33:56:2714594] [INFO   ]: Spooler requested update
[09/05/22 14:33:56:7505365] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:33:56:7517276] [INFO   ]: Spooler requested update
[09/05/22 14:33:57:5857065] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:33:57:5879034] [INFO   ]: Spooler requested update
[09/05/22 14:33:59:4623948] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:33:59:5166378] [INFO   ]: Spooler requested update
[09/05/22 14:34:00:5438070] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:34:00:5537412] [INFO   ]: Spooler requested update
[09/05/22 14:34:01:5494619] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:34:01:5511637] [INFO   ]: Spooler requested update
[09/05/22 14:34:02:4503827] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:34:02:4549208] [INFO   ]: Spooler requested update
[09/05/22 14:34:03:2180915] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:34:03:2270026] [INFO   ]: Spooler requested update
[09/05/22 14:34:04:1024241] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:34:04:1066422] [INFO   ]: Spooler requested update
[09/05/22 14:34:05:0155516] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:34:05:0220243] [INFO   ]: Spooler requested update
[09/05/22 14:34:05:8213865] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:34:05:8264876] [INFO   ]: Spooler requested update
[09/05/22 14:34:06:8441349] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:34:06:8565097] [INFO   ]: Spooler requested update
[09/05/22 14:34:07:9132268] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:34:07:9173863] [INFO   ]: Spooler requested update
[09/05/22 14:34:08:8902630] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:34:08:8983269] [INFO   ]: Spooler requested update
[09/05/22 14:34:09:8768293] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:34:09:8819904] [INFO   ]: Spooler requested update
[09/05/22 14:34:10:7977160] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 14:34:10:8029175] [INFO   ]: Spooler requested update
[09/05/22 14:34:11:8190570] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/2
