[09/05/22 15:38:05:9709818] [INFO   ]: Logging started
[09/05/22 15:38:05:9817236] [INFO   ]: Starting Spooler receive
[09/05/22 15:38:06:2779405] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:06:2783050] [INFO   ]: Spooler requested update
[09/05/22 15:38:06:7972758] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:06:7974663] [INFO   ]: Spooler requested update
[09/05/22 15:38:07:3097869] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:07:3100103] [INFO   ]: Spooler requested update
[09/05/22 15:38:07:8210009] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:07:8212012] [INFO   ]: Spooler requested update
[09/05/22 15:38:08:3315368] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:08:3317379] [INFO   ]: Spooler requested update
[09/05/22 15:38:08:8552098] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:08:8554101] [INFO   ]: Spooler requested update
[09/05/22 15:38:09:3656069] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:09:3658025] [INFO   ]: Spooler requested update
[09/05/22 15:38:09:8750856] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:09:8752977] [INFO   ]: Spooler requested update
[09/05/22 15:38:10:4000862] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:10:4002797] [INFO   ]: Spooler requested update
[09/05/22 15:38:10:9103448] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:10:9105426] [INFO   ]: Spooler requested update
[09/05/22 15:38:11:4208693] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:11:4210911] [INFO   ]: Spooler requested update
[09/05/22 15:38:11:9309930] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:11:9312120] [INFO   ]: Spooler requested update
[09/05/22 15:38:12:4408359] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:12:4410540] [INFO   ]: Spooler requested update
[09/05/22 15:38:12:9514963] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:12:9522173] [INFO   ]: Spooler requested update
[09/05/22 15:38:13:4777622] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:13:4791119] [INFO   ]: Spooler requested update
[09/05/22 15:38:14:0036712] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:14:0043221] [INFO   ]: Spooler requested update
[09/05/22 15:38:14:5295334] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:14:5301589] [INFO   ]: Spooler requested update
[09/05/22 15:38:15:0541126] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:15:0552155] [INFO   ]: Spooler requested update
[09/05/22 15:38:15:5799168] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:15:5805461] [INFO   ]: Spooler requested update
[09/05/22 15:38:16:1061112] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:16:1069085] [INFO   ]: Spooler requested update
[09/05/22 15:38:16:6325097] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:16:6337967] [INFO   ]: Spooler requested update
[09/05/22 15:38:17:1590120] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:17:1597114] [INFO   ]: Spooler requested update
[09/05/22 15:38:17:6846331] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:17:6853470] [INFO   ]: Spooler requested update
[09/05/22 15:38:18:2121706] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:18:2129101] [INFO   ]: Spooler requested update
[09/05/22 15:38:18:7370340] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:18:7377252] [INFO   ]: Spooler requested update
[09/05/22 15:38:19:2640676] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:19:2647225] [INFO   ]: Spooler requested update
[09/05/22 15:38:19:7887700] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:19:7894568] [INFO   ]: Spooler requested update
[09/05/22 15:38:20:3155045] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:20:3161830] [INFO   ]: Spooler requested update
[09/05/22 15:38:20:8403262] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:20:8410303] [INFO   ]: Spooler requested update
[09/05/22 15:38:21:3664053] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:21:3673922] [INFO   ]: Spooler requested update
[09/05/22 15:38:21:8919684] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:21:8926077] [INFO   ]: Spooler requested update
[09/05/22 15:38:22:4187510] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:22:4193929] [INFO   ]: Spooler requested update
[09/05/22 15:38:22:9456319] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:22:9462956] [INFO   ]: Spooler requested update
[09/05/22 15:38:23:4720960] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:23:4727620] [INFO   ]: Spooler requested update
[09/05/22 15:38:23:9967399] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:23:9973810] [INFO   ]: Spooler requested update
[09/05/22 15:38:24:5217018] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:38:24:5224438] [INFO   ]: Spooler requested update
