[09/05/22 15:32:55:6359756] [INFO   ]: Logging started
[09/05/22 15:32:55:6480752] [INFO   ]: Starting Spooler receive
[09/05/22 15:32:56:1417439] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:56:1420818] [INFO   ]: Spooler requested update
[09/05/22 15:32:56:3308367] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:56:3310542] [INFO   ]: Spooler requested update
[09/05/22 15:32:56:5144293] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:56:5146998] [INFO   ]: Spooler requested update
[09/05/22 15:32:56:6820701] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:56:6822741] [INFO   ]: Spooler requested update
[09/05/22 15:32:56:8528949] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:56:8531094] [INFO   ]: Spooler requested update
[09/05/22 15:32:57:0225130] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:57:0227300] [INFO   ]: Spooler requested update
[09/05/22 15:32:57:1908699] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:57:1910882] [INFO   ]: Spooler requested update
[09/05/22 15:32:57:3628865] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:57:3631065] [INFO   ]: Spooler requested update
[09/05/22 15:32:57:5330680] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:57:5332855] [INFO   ]: Spooler requested update
[09/05/22 15:32:57:7018668] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:57:7020645] [INFO   ]: Spooler requested update
[09/05/22 15:32:57:8791344] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:57:8793409] [INFO   ]: Spooler requested update
[09/05/22 15:32:58:0684635] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:58:0687120] [INFO   ]: Spooler requested update
[09/05/22 15:32:58:2552814] [DEBUG  ]: Recieving packet from Spooler of len 2
