[09/05/22 15:48:02:1478123] [INFO   ]: Logging started
[09/05/22 15:48:02:1699364] [INFO   ]: Starting load balancer
[09/05/22 15:48:02:2069009] [INFO   ]: Waiting for load balancer response
[09/05/22 15:48:02:2076309] [INFO   ]: Accepting client
[09/05/22 15:48:02:2078687] [DEBUG  ]: Listener socket does not exist, creating
[09/05/22 15:48:02:2123544] [INFO   ]: Accepting connection
[09/05/22 15:48:02:3033696] [INFO   ]: Connection established
[09/05/22 15:48:02:3038666] [INFO   ]: Connected in 0ms
[09/05/22 15:48:02:3041032] [INFO   ]: Communicating with Load Balancer
[09/05/22 15:48:02:3071988] [INFO   ]: Communicating with Lobbies
[09/05/22 15:48:02:3164177] [INFO   ]: Accepting client
[09/05/22 15:48:02:3166193] [INFO   ]: Accepting connection
[09/05/22 15:48:02:4119289] [INFO   ]: Connection established
[09/05/22 15:48:02:4200164] [INFO   ]: Accepting client
[09/05/22 15:48:02:4202285] [INFO   ]: Accepting connection
[09/05/22 15:48:02:5204593] [INFO   ]: Connection established
[09/05/22 15:48:02:5283807] [INFO   ]: Accepting client
[09/05/22 15:48:02:5285562] [INFO   ]: Accepting connection
[09/05/22 15:48:02:6133720] [INFO   ]: Connection established
[09/05/22 15:48:02:6220298] [INFO   ]: Accepting client
[09/05/22 15:48:02:6222030] [INFO   ]: Accepting connection
[09/05/22 15:48:02:7062468] [INFO   ]: Connection established
[09/05/22 15:48:02:7148430] [INFO   ]: Accepting client
[09/05/22 15:48:02:7150305] [INFO   ]: Accepting connection
[09/05/22 15:48:02:8147337] [INFO   ]: Connection established
[09/05/22 15:48:02:8240819] [INFO   ]: Accepting client
[09/05/22 15:48:02:8243493] [INFO   ]: Accepting connection
[09/05/22 15:48:02:9231363] [INFO   ]: Connection established
[09/05/22 15:48:02:9313266] [INFO   ]: Accepting client
[09/05/22 15:48:02:9315705] [INFO   ]: Accepting connection
[09/05/22 15:48:03:0161466] [INFO   ]: Connection established
[09/05/22 15:48:03:0244386] [INFO   ]: Accepting client
[09/05/22 15:48:03:0246423] [INFO   ]: Accepting connection
[09/05/22 15:48:03:1086711] [INFO   ]: Connection established
[09/05/22 15:48:03:1170068] [INFO   ]: Accepting client
[09/05/22 15:48:03:1171854] [INFO   ]: Accepting connection
[09/05/22 15:48:03:2016743] [INFO   ]: Connection established
[09/05/22 15:48:03:2096292] [INFO   ]: Accepting client
[09/05/22 15:48:03:2098338] [INFO   ]: Accepting connection
[09/05/22 15:48:03:2940538] [INFO   ]: Connection established
[09/05/22 15:48:03:3019018] [INFO   ]: Accepting client
[09/05/22 15:48:03:3021149] [INFO   ]: Accepting connection
[09/05/22 15:48:03:3867498] [INFO   ]: Connection established
[09/05/22 15:48:03:3946837] [INFO   ]: Accepting client
[09/05/22 15:48:03:3948784] [INFO   ]: Accepting connection
[09/05/22 15:48:03:4794617] [INFO   ]: Connection established
[09/05/22 15:48:03:4878312] [INFO   ]: Accepting client
[09/05/22 15:48:03:4880309] [INFO   ]: Accepting connection
[09/05/22 15:48:03:5723963] [INFO   ]: Connection established
[09/05/22 15:48:03:5805259] [INFO   ]: Accepting client
[09/05/22 15:48:03:5806984] [INFO   ]: Accepting connection
[09/05/22 15:48:03:6654129] [INFO   ]: Connection established
[09/05/22 15:48:03:6732917] [INFO   ]: Accepting client
[09/05/22 15:48:03:6734713] [INFO   ]: Accepting connection
