[09/05/22 15:32:53:0552464] [INFO   ]: Logging started
[09/05/22 15:32:53:0676454] [INFO   ]: Starting Spooler receive
[09/05/22 15:32:56:0937029] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:56:0940755] [INFO   ]: Spooler requested update
[09/05/22 15:32:56:3207584] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:56:3209722] [INFO   ]: Spooler requested update
[09/05/22 15:32:56:5042915] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:56:5045540] [INFO   ]: Spooler requested update
[09/05/22 15:32:56:6730628] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:56:6732659] [INFO   ]: Spooler requested update
[09/05/22 15:32:56:8438157] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:56:8441143] [INFO   ]: Spooler requested update
[09/05/22 15:32:57:0135178] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:57:0137720] [INFO   ]: Spooler requested update
[09/05/22 15:32:57:1819165] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:57:1821399] [INFO   ]: Spooler requested update
[09/05/22 15:32:57:3536970] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:57:3539172] [INFO   ]: Spooler requested update
[09/05/22 15:32:57:5240862] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:57:5243075] [INFO   ]: Spooler requested update
[09/05/22 15:32:57:6931071] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:57:6933243] [INFO   ]: Spooler requested update
[09/05/22 15:32:57:8703118] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:57:8705301] [INFO   ]: Spooler requested update
[09/05/22 15:32:58:0575966] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:58:0578341] [INFO   ]: Spooler requested update
[09/05/22 15:32:58:2443467] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:58:2445865] [INFO   ]: Spooler requested update
[09/05/22 15:32:58:4519735] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:58:4527013] [INFO   ]: Spooler requested update
[09/05/22 15:32:58:7260044] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:58:7335888] [INFO   ]: Spooler requested update
[09/05/22 15:32:59:0183876] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:59:0193004] [INFO   ]: Spooler requested update
[09/05/22 15:32:59:2401680] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:59:2408626] [INFO   ]: Spooler requested update
[09/05/22 15:32:59:5268614] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:59:5276363] [INFO   ]: Spooler requested update
[09/05/22 15:32:59:7946485] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:59:7953784] [INFO   ]: Spooler requested update
[09/05/22 15:33:00:0274711] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:33:00:0281774] [INFO   ]: Spooler requested update
[09/05/22 15:33:00:2406361] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:33:00:2413329] [INFO   ]: Spooler requested update
[09/05/22 15:33:00:4588681] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:33:00:4598397] [INFO   ]: Spooler requested update
[09/05/22 15:33:00:6773338] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:33:00:6781123] [INFO   ]: Spooler requested update
[09/05/22 15:33:00:9121924] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:33:00:9135060] [INFO   ]: Spooler requested update
[09/05/22 15:33:01:1465549] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:33:01:1472888] [INFO   ]: Spooler requested update
[09/05/22 15:33:01:3925173] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:33:01:3932808] [INFO   ]: Spooler requested update
[09/05/22 15:33:01:6246300] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:33:01:6253941] [INFO   ]: Spooler requested update
[09/05/22 15:33:01:8539712] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:33:01:8547031] [INFO   ]: Spooler requested update
