[09/05/22 15:32:54:9640635] [INFO   ]: Logging started
[09/05/22 15:32:54:9773166] [INFO   ]: Starting Spooler receive
[09/05/22 15:32:56:1294801] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:56:1298398] [INFO   ]: Spooler requested update
[09/05/22 15:32:56:3283636] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:56:3285712] [INFO   ]: Spooler requested update
[09/05/22 15:32:56:5116370] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:56:5119011] [INFO   ]: Spooler requested update
[09/05/22 15:32:56:6798917] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:56:6800971] [INFO   ]: Spooler requested update
[09/05/22 15:32:56:8505996] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:56:8508194] [INFO   ]: Spooler requested update
[09/05/22 15:32:57:0202272] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:57:0204386] [INFO   ]: Spooler requested update
[09/05/22 15:32:57:1886263] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:57:1888356] [INFO   ]: Spooler requested update
[09/05/22 15:32:57:3605953] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:57:3608158] [INFO   ]: Spooler requested update
[09/05/22 15:32:57:5308672] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:57:5310762] [INFO   ]: Spooler requested update
[09/05/22 15:32:57:6997798] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:57:6999953] [INFO   ]: Spooler requested update
[09/05/22 15:32:57:8769570] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:57:8771666] [INFO   ]: Spooler requested update
[09/05/22 15:32:58:0647004] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:58:0650598] [INFO   ]: Spooler requested update
[09/05/22 15:32:58:2516589] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:58:2518798] [INFO   ]: Spooler requested update
[09/05/22 15:32:58:4788278] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:58:4795712] [INFO   ]: Spooler requested update
[09/05/22 15:32:58:8036844] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:58:8048900] [INFO   ]: Spooler requested update
[09/05/22 15:32:59:0421173] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:59:0455361] [INFO   ]: Spooler requested update
[09/05/22 15:32:59:2686331] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:59:2693911] [INFO   ]: Spooler requested update
[09/05/22 15:32:59:5795266] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:59:5802601] [INFO   ]: Spooler requested update
[09/05/22 15:32:59:8257214] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:59:8264688] [INFO   ]: Spooler requested update
[09/05/22 15:33:00:0536193] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:33:00:0547020] [INFO   ]: Spooler requested update
[09/05/22 15:33:00:2643953] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:33:00:2650995] [INFO   ]: Spooler requested update
[09/05/22 15:33:00:4818215] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:33:00:4852782] [INFO   ]: Spooler requested update
[09/05/22 15:33:00:7036662] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:33:00:7044174] [INFO   ]: Spooler requested update
[09/05/22 15:33:00:9416985] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:33:00:9424432] [INFO   ]: Spooler requested update
[09/05/22 15:33:01:1780474] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:33:01:1789330] [INFO   ]: Spooler requested update
[09/05/22 15:33:01:4195934] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:33:01:4203881] [INFO   ]: Spooler requested update
